Seccion,Titulo,Imagen,Fuente 1,Fuente 2,Fuente 3,Fuente 4,Fuente 5
geopolitica,El costo operativo de los modelos lingüísticos masivos: Impacto financiero en empresas que imponen el uso de IA,"https://img-cdn.inc.com/image/upload/f_webp,q_auto,c_fit/vip/2026/04/tokenmaxxing-pano-1-inc.jpg",https://fortune.com/2026/06/03/us-companies-ai-adoption-high-costs/,https://www.reuters.com/technology/artificial-intelligence/artificial-intelligencer-ai-chatter-turns-costs-tokens-ahead-ipos-2026-06-03/,https://gizmodo.com/companies-are-getting-burned-by-burning-tons-of-tokens-2000765232,https://www.cnbc.com/2026/05/29/-tokens-or-humans-the-new-corporate-trade-off.html,https://www.inc.com/ben-sherry/what-is-tokenmaxxing-ai-productivity-hack/91328999
geopolitica,Rusia y Ucrania cruzan acusaciones tras el impacto de un dron en la central nuclear de Zaporiyia,https://s.france24.com/media/display/75da110e-9ec8-11f0-91d6-005056bf30b7/w:1024/p:16x9/2025-09-30T193638Z-1410058750-RC2GJ1AWM0PS-RTRMADP-3-UKRAINE-CRISIS-ZAPORIZHZHIA.jpg,https://www.reuters.com/world/europe/russias-rosatom-says-ukrainian-drone-struck-zaporizhzhia-nuclear-plant-2026-05-30/,https://www.theguardian.com/world/2026/may/31/ukraine-war-briefing-kyiv-denies-its-drone-deliberately-hit-zaporizhzhia-nuclear-plant,https://www.dw.com/es/un-dron-impact%C3%B3-en-la-central-nuclear-de-zaporiyia/a-77361519,https://tn.com.ar/internacional/2026/05/31/guerra-en-ucrania-un-dron-impacto-en-la-central-nuclear-de-zaporiyia-y-analizan-los-niveles-de-radiacion/,
geopolitica,Ruptura definitiva del alto al fuego: Se detienen las negociaciones diplomáticas con Irán tras nuevos intercambios militares,https://newsmedia.tasnimnews.ir/Tasnim/Uploaded/Image/1404/02/21/140402211040015732813064.jpg,https://www.aljazeera.com/news/liveblog/2026/6/3/iran-war-live-us-strikes-irans-qeshm-says-tehran-attacks-kuwait-bahrain,https://edition.cnn.com/2026/06/01/world/live-news/iran-trump-lebanon-war-news,https://www.reuters.com/world/middle-east/trump-says-he-has-not-heard-iran-that-they-are-suspending-talks-nbc-news-reports-2026-06-01/,https://www.bbc.com/news/articles/c5yx135yg53o,https://www.cbsnews.com/live-updates/trump-iran-war-attacks-kuwait-airport-israel-hezbollah-ceasefire/
nacional,Ley de financiamiento universitario: fracasan negociaciones entre universidades y el gobierno,https://www.lanacion.com.ar/resizer/v2/una-bandera-con-el-reclamo-universitario-en-el-SLPTJDOX3ZG2HPKHNVHOL6GTVU.JPG?auth=01985fb3c8ac332651be8ad0aeba71df6386a3e3a73785ea06b7736af16a569f&width=1200&height=800&quality=70&smart=true,https://www.pagina12.com.ar/2026/06/02/el-aumento-que-no-fue-y-una-condicion-inaceptable-por-que-fracaso-la-reunion-entre-el-gobierno-y-las-universidades/,https://www.lanacion.com.ar/politica/avanza-una-negociacion-politica-para-destrabar-el-conflicto-por-la-ley-de-financiamiento-nid31052026/,https://www.lagaceta.com.ar/nota/1139537/economia/universidades-inician-paro-48-horas-para-reclamar-implementacion-ley-financiamiento-universitario.html,https://tn.com.ar/politica/2026/06/02/universidades-el-gobierno-prepara-una-oferta-para-cerrar-el-conflicto-antes-del-fallo-de-la-corte/,https://www.clarin.com/politica/gobierno-universidades-buscan-destrabar-acuerdo-poner-fin-conflicto-universitario_0_OhPmsOo5RD.html
nacional,Revocación de la medida cautelar que frenaba la modificación de la Ley de Glaciares en Santa Cruz,https://www.greenpeace.org/static/planet4-argentina-stateless/2025/01/625951c9-glaciar-perito-moreno-patagonia-arg-%C2%A9-greenpeace-daniel-beltra.jpg,https://www.boletinoficial.gob.ar/detalleAviso/primera/341109/20260424,https://www.argentina.gob.ar/normativa/nacional/ley-26639-174117/texto,https://www.infobae.com/judiciales/2026/06/01/ley-de-glaciares-la-justicia-revoco-la-cautelar-que-habia-suspendido-su-aplicacion-en-santa-cruz/,https://www.eldestapeweb.com/politica/ley-glaciares-santa-cruz-justicia-revoco-fallo-frenaba-reforma-provincia-202663114451,https://www.lanacion.com.ar/politica/la-justicia-revoco-una-cautelar-sobre-la-ley-de-glaciares-iniciada-por-kirchneristas-en-santa-cruz-nid01062026/
nacional,El Gobierno redefine la política nuclear argentina apuntando al mercado global de reactores y combustible de alto valor agregado,https://cenital.com/wp-content/smush-webp/2023/08/nuclear.jpg.webp,https://www.lanacion.com.ar/economia/el-gobierno-redefinio-la-politica-nuclear-priorizara-las-exportaciones-y-buscara-atraer-inversion-nid31052026/,https://www.argentina.gob.ar/sites/default/files/2026/05/lineamientos_de_la_politica_nuclear_0.pdf,https://www.infobae.com/economia/2026/05/31/tras-los-cambios-y-la-crisis-en-el-sector-presentaron-el-plan-nuclear-argentino-cuales-son-sus-cuatro-pilares/?outputType=amp-type,,
ciencia,Giro de frontera: Descubren el potencial de los medicamentos GLP-1 en tratamientos oncológicos,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://cloudfront-us-east-1.images.arcpublishing.com/wapo/P6BD5UBN3JCSLPUB7KPUV7J4BM.jpg&w=1440&impolicy=high_res.jpg,https://www.reuters.com/business/healthcare-pharmaceuticals/glp-1-drugs-may-have-beneficial-effect-across-many-types-cancer-2026-06-03/,https://penntoday.upenn.edu/news/glp-1-use-linked-lower-breast-cancer-incidence-large-cohort-study,https://abcnews.com/GMA/Wellness/doctor-breaks-study-showing-glp-1s-lower-breast/story?id=133551460,,
ciencia,Química interestelar: El hallazgo de metano en el cometa 3I/ATLAS revela cómo se forman otros sistemas solares,"https://platform.vox.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/22863764/33433274343_277deba9eb_o.jpg?quality=90&strip=all&crop=17.287878787879,0,65.424242424242,100.jpg",https://science.nasa.gov/blogs/3iatlas/2026/06/01/nasas-webb-detects-methane-on-interstellar-comet-3i-atlas/,https://www.sci.news/astronomy/webb-methane-interstellar-comet-3i-atlas-14810.html,https://www.skyatnightmagazine.com/news/3i-atlas-james-webb-space-telescope-december-2025,,
ciencia,Blue Origin inicia la investigación técnica tras la explosión y destrucción de componentes del cohete New Glenn,https://image.cnbcfm.com/api/v1/image/108313976-1780075877867-2026-05-29T110544Z_113529756_RC2YILAZB7RN_RTRMADP_3_BLUE-ORIGIN-TEST-EXPLOSION.JPG?v=1780075991&w=1480&h=833&ffmt=webp&vtcrop=y,https://edition.cnn.com/2026/05/28/science/blue-origin-rocket-anomaly,https://www.theguardian.com/science/2026/may/29/blue-origin-rocket-explodes,https://www.space.com/space-exploration/launches-spacecraft/rocket-goes-boom-satellite-cameras-zoom-explosive-blue-origin-damage-is-visible-from-space,https://www.cnbc.com/2026/06/01/blue-origin-launchpad-may-not-be-restored-until-2028-nasas-isaacman.html,
sustentabilidad,"IA va a duplicar su consumo energetico para 2030, investigadores de UN dicen","https://qz.com/cdn-cgi/image/width=1920,quality=85,format=auto/https://assets.qz.com/media/c2b1ed56b1ddcfd7d3f8f6c341ba2617.jpg",https://www.reuters.com/business/energy/ai-double-data-centre-power-water-consumption-by-2030-un-researchers-say-2026-06-03/,https://elpais.com/tecnologia/2026-06-03/la-ia-consumira-en-2030-tanta-agua-como-1300-millones-de-personas.html,https://apnews.com/article/ai-data-centers-environment-climate-footprint-a792f184a9f2833b5388dbae8b41ca95,,
