section,title,image,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,glossary_term,glossary_image,glossary_source_1,glossary_source_2,glossary_source_3,glossary_source_4
geopolítica,Ormuz: Acuerdo inminente y tregua de 60 días,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/be62/live/e0d5d470-3356-11f1-8606-05fe34b06e1b.png.webp,https://www.dw.com/es/posible-acuerdo-contempla-tregua-por-60-d%C3%ADas-y-reabrir-ormuz/live-77258651,https://elpais.com/internacional/2026-05-26/iran-acusa-a-ee-uu-de-violar-la-tregua-por-atacar-objetivos-militares-y-amenaza-con-responder.html,https://www.infobae.com/america/agencias/2026/05/24/el-acuerdo-eeuu-iran-incluiria-desbloqueo-del-estrecho-de-ormuz-y-una-tregua-de-60-dias/,,,,,,Estrecho de Ormuz,,,,,
geopolítica,Crisis humanitaria por desplazados,https://images.unsplash.com/photo-1469571486292-0ba58a3f068b?auto=format&fit=crop&w=1200&q=80,https://www.iom.int/escalation-middle-east-and-beyond-growing-humanitarian-crisis,https://www.acnur.org/noticias/comunicados-de-prensa/acnur-alerta-de-que-mas-de-330-000-personas-han-sido-desplazadas-por-la-reciente-escalada-de-violencia-en-medio-oriente-y-otras-regiones,https://www.iom.int/es/news/segun-nuevos-datos-de-la-oim-en-medio-de-la-escalada-del-conflicto-regional-ha-habido-1-millon-de-personas-desplazadas-y-130000-desplazamientos-transfronterizos,,,,,,,,,,,
geopolítica,Amenazas de Rusia contra Ucrania,https://www.ort.edu.uy/innovaportal/file/122490/1/las-razones-del-conflicto-entre-rusia-y-ucrania.jpg,https://www.bbc.com/mundo/articles/cy022ex9wg9o,https://www.reuters.com/business/aerospace-defense/senior-ukrainian-commander-sees-imminent-turning-point-war-2026-05-27/,https://understandingwar.org/research/russia-ukraine/russian-offensive-campaign-assessment-may-26-2026/,,,,,,,,,,,
nacional,Inflación de abril: 2.6%,https://img.lagaceta.com.ar/fotos/notas/2026/02/10/inflacion-asi-argentina-ranking-latinoamericano-tras-dato-enero-1123832-171029.jpg,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,https://www.infobae.com/economia/2026/05/14/la-inflacion-desacelero-a-26-en-abril-y-acumulo-324-en-los-ultimos-doce-meses/,https://www.indec.gob.ar/indec/web/Nivel3-Tema-3-5,,,,,,,,,,,
nacional,Desastre agropecuario en Mendoza,https://www.infocampo.com.ar/wp-content/uploads/2022/11/helada-vinedo.jpg,https://www.argentina.gob.ar/noticias/el-gobierno-nacional-declaro-la-emergencia-agropecuaria-en-distintas-zonas-productivas-de-0,https://www.infobae.com/economia/2026/05/27/el-gobierno-declaro-la-emergencia-agropecuaria-en-chubut-santa-cruz-y-varios-departamentos-de-mendoza/,https://www.perfil.com/noticias/economia/boletin-oficial-mendoza-fue-declarado-en-estado-de-desastre-agropecuario-por-granizo.phtml,,,,,,,,,,,
nacional,Reforma Ley de Salud Mental,https://d3b5jqy5xuub7g.cloudfront.net/wp-content/uploads/2026/04/somicioens.png,https://www.lanacion.com.ar/sociedad/internaciones-rol-del-psiquiatra-y-riesgo-grave-puntos-destacados-de-otra-jornada-en-el-senado-por-nid13052026/,https://www.pagina12.com.ar/2026/05/21/el-senado-avanzara-con-la-reforma-de-salud-mental-que-permite-internacion-no-voluntaria/,https://www.infobae.com/politica/2026/05/12/el-senado-retoma-el-debate-para-cambiar-la-ley-de-salud-mental-expondran-mas-de-30-invitados/,,,,,,,,,,,
ciencia-ambiente,Base permanente en la Luna,https://tn.com.ar/resizer/v2/la-nasa-presento-su-plan-para-colonizar-la-luna-asi-sera-la-base-permanente-que-costara-us-20000-millones-HYO2WCVGB5CUDOIQTRUE7D7IL4.png?auth=3d477d43523d468d865741ad01a03aca4a96d1aeb3f04723c4223fecbeea1289&width=767,https://www.bbc.com/news/articles/c39228nxyr4o,https://www.nasa.gov/moontomarsarchitecture-architecturedefinitiondocuments/,https://www.nasa.gov/moonbase/,,,,,,,,,,,
ciencia-ambiente,Alerta internacional por Ébola,https://build.cfr.org/wp-content/uploads/2026/05/Ebola_A.jpg,https://news.un.org/es/story/2026/05/1541495,https://www.dw.com/es/oms-epidemia-de-%C3%A9bola-en-rd-congo-es-extremadamente-grave/a-77290667,https://www.bbc.com/mundo/articles/clypevlx88no,,,,,,,,,,,
ciencia-ambiente,Ética en asentamientos lunares,https://cloudfront-us-east-1.images.arcpublishing.com/infobae/2WJU5ASEAZEEBGURYDMTTQQYUI.JPG,https://www.esa.int/Space_in_Member_States/Spain/Camino_al_sur_de_la_Luna,https://www.nasa.gov/es/el-polo-sur-de-la-luna-est%C3%A1-repleto-de-misterio-ciencia-intriga/,https://www.bbc.com/mundo/noticias-51236858,,,,,,,,,,,
ciencia-ambiente,Obligaciones legales climáticas,https://ayudaenaccion.org/uploads/2020/10/ONU.jpg,https://news.un.org/en/story/2026/05/1167561,https://www.lanacion.com.ar/estados-unidos/onu-adopta-texto-para-reforzar-obligacion-de-los-paises-frente-al-cambio-climatico-nid20052026/,https://es.greenpeace.org/es/sala-de-prensa/comunicados/greenpeace-celebra-que-la-asamblea-general-de-la-onu-confirme-la-responsabilidad-legal-de-los-estados-de-frenar-el-cambio-climatico/,,,,,,,,,,,
